time_to_resolution,chaser_count,property_complaint_history,sla_breach_flag,is_complaint
34,5,3,1,0
24,0,3,0,0
39,4,1,1,0
32,1,2,1,0
8,4,0,0,0
64,4,3,1,0
84,1,2,1,0
25,4,0,0,0
5,0,2,0,0
41,2,0,1,1
85,3,0,1,0
22,1,0,0,0
76,2,1,1,0
17,1,2,0,0
39,5,1,1,0
12,5,3,0,0
65,5,1,1,1
42,3,3,1,0
73,5,2,1,0
86,0,0,1,0
22,3,2,0,0
3,0,3,0,0
37,0,3,1,0
1,2,3,0,1
46,2,1,1,1
61,3,2,1,0
53,0,1,1,0
78,5,3,1,0
47,0,2,1,0
36,2,3,1,0
63,5,3,1,0
48,0,3,1,0
55,0,2,1,0
24,5,0,0,0
33,2,1,1,0
60,3,3,1,0
45,5,1,1,0
6,4,1,0,0
10,5,1,0,0
17,2,3,0,0
80,3,3,1,0
59,0,0,1,0
22,5,1,0,0
39,2,2,1,0
32,5,2,1,1
19,1,3,0,0
3,5,2,0,1
37,3,2,1,0
1,2,2,0,0
12,3,2,0,0
32,5,0,1,0
5,1,3,0,0
28,4,1,0,0
51,3,1,1,0
10,3,3,0,0
76,4,1,1,0
5,1,2,0,0
17,5,1,0,0
43,2,3,1,0
15,1,1,0,0
26,2,1,0,0
73,0,3,1,0
89,3,1,1,0
4,3,0,0,0
56,2,1,1,0
78,5,3,1,0
28,4,3,0,1
32,3,2,1,0
56,0,0,1,0
68,3,1,1,0
27,5,0,0,0
57,5,2,1,0
54,1,3,1,0
26,4,1,0,0
26,5,2,0,0
27,0,0,0,0
75,3,0,1,0
13,3,3,0,0
81,0,2,1,0
29,5,0,1,0
18,1,2,0,0
33,5,3,1,0
15,3,0,0,0
66,5,0,1,0
4,3,2,0,0
12,5,0,0,0
67,3,1,1,0
78,4,3,1,0
10,2,1,0,0
56,3,1,1,0
37,5,1,1,0
69,5,3,1,0
29,1,0,1,0
1,3,1,0,0
46,2,1,1,0
16,3,2,0,0
89,3,1,1,0
5,0,0,0,0
65,0,3,1,1
57,0,0,1,0
70,1,2,1,0
42,5,2,1,0
57,2,3,1,0
46,5,2,1,1
28,2,2,0,1
9,5,2,0,0
7,1,2,0,0
43,2,1,1,0
86,1,0,1,0
13,4,0,0,1
34,4,2,1,1
16,4,3,0,0
31,4,1,1,0
66,4,0,1,0
9,2,2,0,0
18,4,2,0,0
87,2,3,1,0
40,5,0,1,0
85,4,3,1,0
51,0,3,1,0
83,0,0,1,1
21,1,0,0,0
39,4,0,1,0
76,1,1,1,0
16,5,3,0,0
19,4,3,0,1
51,2,2,1,0
29,5,0,1,0
24,1,2,0,0
37,3,3,1,0
38,4,0,1,0
27,5,2,0,0
31,0,3,1,0
13,5,0,0,0
69,5,3,1,1
83,4,0,1,0
87,5,2,1,0
2,5,2,0,0
20,1,2,0,0
62,2,1,1,0
58,2,0,1,0
4,5,0,0,0
20,5,1,0,0
64,5,3,1,0
60,5,0,1,0
56,4,2,1,0
38,1,0,1,0
6,3,3,0,0
78,1,3,1,0
67,0,3,1,0
83,4,2,1,0
87,5,3,1,1
39,1,3,1,0
54,3,0,1,0
5,2,3,0,1
12,0,1,0,0
49,2,1,1,0
61,0,0,1,0
88,3,1,1,0
62,4,1,1,0
16,4,2,0,1
32,0,2,1,0
21,1,3,0,0
3,0,3,0,0
89,2,0,1,0
38,3,3,1,0
62,4,2,1,0
71,4,1,1,0
75,2,1,1,0
54,4,1,1,0
49,4,1,1,1
41,3,2,1,0
17,5,0,0,0
81,0,2,1,0
9,3,3,0,0
13,2,0,0,0
31,2,2,1,1
74,0,1,1,0
30,3,0,1,0
18,1,1,0,0
61,2,0,1,0
79,1,1,1,0
37,2,0,1,0
35,4,1,1,0
89,2,0,1,0
41,1,1,1,0
82,0,0,1,0
27,3,2,0,0
1,4,1,0,0
38,0,3,1,0
69,5,1,1,0
71,2,0,1,0
39,3,3,1,0
42,1,1,1,0
11,2,0,0,0
5,4,2,0,0
46,4,0,1,1
80,1,3,1,0
59,1,1,1,0
62,1,2,1,0
45,2,1,1,0
76,0,3,1,0
50,2,1,1,0
13,4,1,0,0
62,1,0,1,0
10,3,0,0,0
68,4,3,1,0
43,3,0,1,0
46,2,1,1,0
14,1,0,0,0
48,0,2,1,0
8,3,2,0,0
62,2,0,1,0
82,2,2,1,0
84,2,0,1,0
28,3,2,0,0
74,0,2,1,0
80,3,2,1,0
28,2,1,0,0
26,1,2,0,0
54,4,2,1,0
1,1,0,0,0
1,3,3,0,0
86,2,0,1,0
40,0,3,1,0
19,3,3,0,0
12,4,2,0,0
32,2,3,1,0
40,5,2,1,1
59,1,3,1,0
45,2,0,1,0
80,2,3,1,0
30,2,0,1,0
46,1,1,1,0
73,5,1,1,0
27,4,1,0,0
20,1,1,0,0
35,0,0,1,0
85,4,3,1,0
63,0,3,1,0
45,2,2,1,0
9,2,3,0,0
43,0,3,1,0
21,0,0,0,0
46,2,3,1,0
62,1,2,1,0
64,3,0,1,0
16,5,2,0,0
50,2,2,1,0
47,3,2,1,0
61,3,0,1,0
23,3,1,0,0
84,2,2,1,0
27,1,2,0,0
20,4,0,0,1
89,2,2,1,0
16,5,1,0,0
17,0,1,0,0
21,5,1,0,0
73,1,3,1,1
13,1,2,0,0
83,5,3,1,0
49,2,1,1,0
52,5,3,1,0
46,2,3,1,0
76,2,0,1,0
2,5,2,0,1
62,3,3,1,0
43,1,1,1,0
45,5,1,1,0
67,3,1,1,0
73,0,3,1,0
59,0,1,1,0
74,0,3,1,0
9,0,1,0,0
25,5,0,0,0
8,4,3,0,0
24,1,0,0,0
19,3,2,0,0
26,4,0,0,0
35,0,3,1,0
54,2,3,1,0
44,2,0,1,0
25,5,0,0,0
1,5,0,0,0
2,1,3,0,0
82,2,1,1,0
1,2,3,0,0
27,4,1,0,0
78,0,2,1,0
33,4,3,1,0
49,0,1,1,0
60,3,1,1,0
5,3,2,0,0
42,5,0,1,1
28,3,2,0,0
28,3,3,0,1
46,2,3,1,0
55,2,3,1,0
73,0,1,1,0
68,4,2,1,0
25,3,0,0,0
37,4,2,1,0
16,2,0,0,0
35,3,1,1,0
2,2,1,0,0
9,5,0,0,0
7,5,1,0,0
20,5,2,0,0
35,2,1,1,0
52,2,1,1,0
57,2,3,1,0
49,1,0,1,0
88,4,1,1,0
86,0,2,1,0
4,4,2,0,0
21,0,0,0,0
2,2,2,0,1
77,0,1,1,0
60,0,0,1,0
68,3,1,1,0
64,5,3,1,0
74,3,1,1,0
19,5,1,0,1
81,2,0,1,0
47,5,0,1,0
60,0,0,1,0
5,0,0,0,0
10,3,0,0,0
59,1,3,1,0
5,0,0,0,0
61,4,2,1,0
31,0,2,1,0
14,0,3,0,0
42,3,0,1,1
22,2,3,0,0
37,1,0,1,0
54,5,2,1,0
73,0,2,1,0
61,3,0,1,0
82,0,2,1,0
53,4,0,1,0
15,1,1,0,0
44,4,3,1,0
2,2,0,0,0
19,1,3,0,0
84,0,1,1,0
34,4,2,1,0
44,3,3,1,0
3,4,3,0,1
33,1,2,1,0
34,0,0,1,0
23,1,3,0,0
49,5,2,1,0
16,1,0,0,0
67,3,0,1,0
73,4,3,1,0
28,5,1,0,0
8,5,1,0,0
6,4,3,0,0
40,3,3,1,0
7,5,1,0,0
60,3,1,1,0
18,4,3,0,0
4,0,2,0,0
8,4,3,0,0
50,5,3,1,0
85,3,0,1,0
47,0,0,1,1
7,3,3,0,0
62,1,1,1,0
25,3,2,0,0
29,5,1,1,0
82,1,3,1,0
66,2,3,1,0
31,3,0,1,0
19,3,0,0,0
60,4,1,1,0
54,5,2,1,0
49,0,1,1,1
65,4,0,1,0
24,5,3,0,0
56,3,3,1,0
62,4,3,1,0
42,4,2,1,0
23,4,1,0,1
73,2,3,1,1
50,3,3,1,0
17,2,3,0,0
47,0,0,1,0
18,1,1,0,0
22,2,2,0,0
58,4,1,1,0
35,4,2,1,0
35,2,0,1,1
1,1,2,0,0
40,4,3,1,0
65,2,3,1,0
87,5,2,1,0
77,1,1,1,0
33,5,1,1,0
69,0,3,1,0
21,3,2,0,0
39,2,1,1,0
85,0,2,1,0
84,4,3,1,0
24,4,1,0,0
1,2,2,0,0
14,1,0,0,0
56,3,3,1,0
57,4,1,1,0
29,4,2,1,0
31,5,3,1,1
53,2,0,1,1
2,1,3,0,0
67,3,1,1,0
36,3,3,1,0
79,5,0,1,0
87,4,1,1,0
9,3,1,0,0
70,3,2,1,0
63,4,1,1,0
82,1,3,1,0
79,5,1,1,0
69,3,2,1,0
76,0,0,1,0
78,2,0,1,0
82,0,0,1,1
4,5,3,0,0
58,1,3,1,0
41,3,0,1,0
46,5,0,1,0
32,4,0,1,0
4,0,3,0,0
72,5,2,1,0
77,0,0,1,0
72,2,0,1,0
64,3,2,1,0
14,4,3,0,0
57,4,0,1,0
49,2,2,1,0
63,0,1,1,0
13,5,0,0,0
50,4,0,1,0
12,3,1,0,0
77,2,2,1,0
61,2,2,1,1
2,2,1,0,0
75,2,2,1,0
27,1,3,0,0
16,3,3,0,0
86,2,2,1,0
46,2,0,1,0
35,5,2,1,0
55,5,3,1,0
48,3,2,1,1
5,3,2,0,0
85,3,1,1,0
12,2,0,0,0
4,2,1,0,0
74,3,1,1,0
41,1,0,1,0
88,2,1,1,0
32,4,3,1,0
5,3,0,0,0
27,1,0,0,0
35,3,2,1,0
39,2,3,1,0
29,5,0,1,0
5,0,2,0,1
52,2,2,1,1
47,0,1,1,0
88,0,2,1,0
41,5,0,1,0
16,5,0,0,0
21,0,3,0,0
34,1,0,1,0
75,2,2,1,0
34,5,0,1,0
73,2,2,1,0
5,0,3,0,0
13,1,2,0,0
57,1,2,1,0
71,3,0,1,0
68,3,0,1,0
21,4,0,0,0
79,2,0,1,0
12,4,3,0,0
64,5,1,1,0
58,5,0,1,0
8,1,0,0,0
54,0,3,1,0
5,2,3,0,0
80,2,0,1,0
67,2,3,1,0
55,4,1,1,0
66,3,1,1,0
29,3,0,1,0
73,1,1,1,0
61,5,3,1,1
54,0,2,1,0
58,5,0,1,0
2,5,1,0,0
5,0,0,0,0
77,3,2,1,0
10,3,1,0,0
31,3,2,1,0
88,3,3,1,0
43,5,3,1,0
23,0,3,0,0
34,0,0,1,0
36,5,1,1,0
62,0,0,1,0
66,0,3,1,0
76,2,0,1,0
67,1,2,1,0
49,1,2,1,0
41,4,1,1,0
19,5,2,0,0
16,1,1,0,0
20,1,1,0,0
23,0,3,0,0
8,4,1,0,0
62,4,3,1,0
77,3,2,1,0
50,3,2,1,0
69,1,1,1,0
17,4,3,0,0
73,0,0,1,0
53,2,0,1,0
35,0,1,1,0
62,4,3,1,0
40,1,0,1,0
1,4,2,0,0
81,5,1,1,0
88,1,3,1,0
30,2,0,1,0
25,1,2,0,0
71,5,0,1,0
82,1,3,1,0
36,3,3,1,0
13,1,2,0,0
21,2,2,0,0
51,3,3,1,0
9,1,0,0,0
31,0,0,1,0
57,1,2,1,0
34,4,2,1,0
24,4,3,0,0
55,1,0,1,0
76,3,2,1,0
13,1,2,0,0
4,1,0,0,0
39,5,2,1,0
20,1,2,0,0
1,2,3,0,0
72,1,2,1,0
23,2,1,0,0
84,4,0,1,0
27,4,1,0,0
74,0,3,1,0
62,0,1,1,0
56,4,1,1,0
42,1,2,1,0
76,0,2,1,0
11,4,2,0,0
23,2,2,0,0
49,0,0,1,1
52,0,2,1,1
75,1,3,1,0
46,5,1,1,1
48,4,1,1,0
5,3,1,0,1
12,3,0,0,0
20,0,1,0,0
55,3,1,1,1
88,5,2,1,1
21,1,1,0,0
31,1,0,1,0
82,4,0,1,0
65,1,1,1,0
26,2,1,0,0
79,0,0,1,0
89,5,3,1,0
33,3,3,1,0
58,0,1,1,0
85,2,3,1,0
66,5,2,1,0
74,4,0,1,0
10,2,0,0,0
39,5,3,1,0
33,2,0,1,0
53,1,1,1,0
83,3,0,1,0
10,5,1,0,0
29,4,1,1,0
59,1,2,1,0
74,0,1,1,0
45,0,0,1,0
8,1,1,0,0
39,4,2,1,0
1,1,1,0,0
41,2,0,1,0
32,2,0,1,0
1,1,3,0,0
75,1,3,1,0
62,3,1,1,0
35,1,0,1,0
83,0,0,1,0
88,4,0,1,0
64,2,2,1,0
51,3,3,1,0
41,0,1,1,0
64,2,1,1,0
58,5,2,1,0
52,1,1,1,0
1,2,1,0,0
69,3,2,1,0
28,4,1,0,0
82,4,0,1,0
85,0,3,1,0
13,4,1,0,0
40,3,0,1,0
44,5,1,1,0
67,3,3,1,0
54,0,1,1,0
49,2,1,1,0
71,0,0,1,0
89,2,0,1,0
50,1,0,1,0
11,2,3,0,0
23,0,2,0,0
57,5,0,1,1
31,0,3,1,0
23,0,1,0,0
70,5,3,1,0
77,4,3,1,0
47,5,1,1,1
72,3,3,1,0
33,4,1,1,0
67,1,1,1,0
81,5,0,1,0
26,2,1,0,0
88,2,2,1,0
1,3,0,0,1
29,1,1,1,0
8,0,0,0,0
78,0,1,1,0
78,1,1,1,0
76,4,2,1,0
22,1,2,0,0
15,3,1,0,0
44,5,3,1,0
11,3,0,0,0
20,0,2,0,0
82,3,3,1,0
59,0,2,1,0
4,4,3,0,0
29,2,2,1,0
49,0,1,1,1
85,3,3,1,0
22,1,3,0,0
51,3,3,1,0
22,3,1,0,0
65,3,3,1,1
75,3,0,1,0
29,2,0,1,0
83,2,1,1,0
59,3,0,1,0
14,1,0,0,0
43,1,2,1,0
72,3,3,1,0
21,5,0,0,0
47,1,1,1,0
66,1,0,1,0
89,2,0,1,0
21,4,2,0,0
48,4,3,1,0
8,4,0,0,0
28,2,2,0,0
72,5,0,1,1
37,1,3,1,0
20,5,0,0,0
56,1,3,1,0
39,1,0,1,0
63,0,1,1,0
28,3,0,0,0
73,1,1,1,1
54,5,1,1,0
6,1,3,0,1
27,4,2,0,0
33,0,1,1,0
9,0,1,0,0
80,4,2,1,0
79,4,1,1,0
50,3,3,1,0
88,1,2,1,0
49,3,2,1,0
34,5,2,1,0
4,4,2,0,0
30,5,0,1,0
45,1,1,1,0
34,2,2,1,0
62,3,1,1,0
89,4,2,1,0
11,5,3,0,0
88,0,2,1,0
57,1,0,1,0
17,4,2,0,0
25,2,2,0,0
52,5,0,1,0
71,4,0,1,0
48,2,3,1,1
18,1,3,0,0
10,2,1,0,0
56,5,3,1,0
37,4,0,1,0
13,1,1,0,0
27,0,0,0,0
79,0,3,1,0
29,3,2,1,0
57,4,0,1,0
62,1,3,1,0
14,4,0,0,0
17,2,1,0,0
33,5,1,1,0
58,2,2,1,0
53,5,3,1,0
44,1,3,1,1
62,3,1,1,0
68,3,2,1,0
35,5,3,1,0
75,2,2,1,0
10,5,3,0,0
10,4,0,0,0
77,2,3,1,0
25,4,2,0,0
73,0,2,1,0
22,0,1,0,0
86,0,3,1,0
15,1,1,0,0
75,5,0,1,0
59,4,0,1,0
75,3,1,1,1
67,3,1,1,0
11,5,3,0,0
31,2,2,1,0
47,3,0,1,0
33,4,0,1,0
42,3,3,1,1
72,2,3,1,0
60,2,1,1,0
86,0,1,1,0
2,5,0,0,0
33,3,0,1,0
14,5,3,0,0
67,1,1,1,1
30,4,1,1,0
38,1,2,1,0
39,5,0,1,0
70,0,2,1,0
81,1,0,1,0
11,5,3,0,0
63,3,3,1,0
55,5,0,1,0
75,4,3,1,0
38,5,1,1,0
57,3,1,1,0
59,2,2,1,0
63,3,3,1,0
66,4,3,1,1
49,1,3,1,0
67,3,0,1,0
19,2,0,0,0
67,5,0,1,0
60,0,2,1,0
89,5,0,1,0
59,2,0,1,0
35,4,2,1,0
83,2,3,1,0
61,1,3,1,0
71,4,0,1,0
67,1,2,1,0
22,2,2,0,0
3,1,0,0,0
84,3,2,1,0
82,3,0,1,0
35,2,1,1,0
57,2,0,1,0
74,4,2,1,0
79,4,2,1,0
5,4,2,0,1
54,3,1,1,0
77,2,0,1,0
21,5,3,0,0
8,1,2,0,0
76,0,3,1,0
57,0,2,1,0
9,1,0,0,0
66,2,3,1,0
87,0,2,1,1
45,2,3,1,0
61,2,3,1,0
16,4,3,0,0
61,4,2,1,1
78,0,0,1,0
51,1,3,1,0
21,4,2,0,1
10,2,2,0,0
34,2,0,1,0
79,4,1,1,0
20,5,3,0,0
66,2,1,1,1
27,3,0,0,0
40,0,3,1,0
39,1,2,1,0
38,5,1,1,0
1,1,0,0,0
21,4,3,0,0
45,3,3,1,0
63,3,2,1,1
49,5,1,1,0
65,4,3,1,0
60,1,2,1,0
86,2,2,1,0
37,0,3,1,0
8,5,1,0,1
84,1,3,1,0
22,5,3,0,0
74,4,3,1,0
1,4,2,0,0
22,3,3,0,0
77,3,3,1,0
72,3,2,1,0
56,3,0,1,1
62,4,0,1,0
18,5,3,0,0
14,4,3,0,0
30,1,0,1,0
4,5,3,0,0
37,3,1,1,0
37,1,0,1,0
37,4,1,1,0
15,5,3,0,0
87,1,2,1,0
73,5,1,1,0
72,1,1,1,0
62,3,0,1,0
45,5,1,1,0
66,0,0,1,0
86,0,2,1,1
70,3,1,1,0
27,1,1,0,0
69,3,3,1,0
25,4,3,0,0
21,3,3,0,0
56,3,3,1,0
21,0,2,0,0
2,0,0,0,0
4,3,0,0,0
76,5,2,1,0
18,0,2,0,0
81,4,0,1,1
39,2,0,1,0
78,2,0,1,1
55,3,0,1,0
75,1,0,1,0
52,0,3,1,0
11,3,0,0,0
3,1,3,0,0
82,0,2,1,0
81,3,3,1,0
56,3,2,1,0
36,3,2,1,0
58,3,0,1,0
82,5,1,1,0
55,0,1,1,0
56,5,0,1,0
70,0,3,1,0
65,1,0,1,0
3,1,0,0,0
24,1,0,0,0
53,5,1,1,0
34,4,1,1,0
53,4,3,1,0
84,4,1,1,0
86,0,1,1,0
37,4,1,1,0
63,0,3,1,0
20,5,0,0,0
19,5,3,0,0
44,1,0,1,0
45,4,2,1,0
80,4,1,1,0
54,1,2,1,0
24,5,1,0,0
12,4,3,0,0
68,5,2,1,0
13,0,1,0,0
57,1,2,1,0
41,1,3,1,0
9,4,0,0,0
34,2,1,1,0
39,5,0,1,0
17,2,0,0,0
78,5,2,1,0
70,1,1,1,0
38,0,0,1,0
84,4,0,1,0
4,2,1,0,0
60,5,2,1,0
6,2,2,0,0
30,5,2,1,0
87,2,3,1,1
75,3,1,1,0
58,5,1,1,0
26,2,0,0,0
44,3,2,1,0
72,5,3,1,1
52,5,3,1,0
41,4,3,1,0
40,5,1,1,0
76,5,1,1,0
5,3,2,0,0
58,0,3,1,0
21,1,3,0,0
48,0,2,1,0
39,3,3,1,0
75,2,1,1,0
81,3,0,1,0
30,5,0,1,0
22,1,3,0,0
57,0,2,1,0
57,1,1,1,0
14,3,1,0,0
13,5,2,0,0
83,1,1,1,0
25,0,1,0,0
60,5,2,1,0
14,5,2,0,1
10,1,0,0,0
13,5,0,0,0
37,3,2,1,0
85,1,2,1,0
28,0,2,0,0
1,5,3,0,1
32,1,0,1,0
58,2,1,1,0
83,3,3,1,0
26,1,1,0,0
22,5,2,0,0
80,2,2,1,0
46,3,2,1,0
82,1,0,1,0
55,3,2,1,0
80,4,1,1,0
50,2,3,1,0
52,3,3,1,0
24,3,0,0,0
34,3,0,1,0
33,3,3,1,0
65,0,3,1,0
75,3,2,1,0
81,4,1,1,0
80,0,0,1,0
65,5,2,1,0
34,0,3,1,0
47,2,3,1,1
46,2,0,1,0
58,1,2,1,0
63,0,1,1,0
36,4,0,1,0
64,2,2,1,0
76,4,1,1,0
61,0,0,1,0
75,2,3,1,1
58,5,1,1,0
68,2,3,1,0
6,0,1,0,0
42,4,3,1,0
80,0,3,1,0
86,5,0,1,0
14,4,3,0,0
58,4,3,1,0
29,4,2,1,0
38,4,3,1,0
83,3,0,1,0
84,0,2,1,0
60,1,3,1,0
88,1,3,1,0
33,3,3,1,0
85,1,3,1,0
38,4,0,1,0
67,3,1,1,0
45,3,3,1,0
72,1,0,1,0
85,5,3,1,0
88,0,3,1,0
23,3,0,0,0
22,1,0,0,0
67,2,3,1,0
74,1,1,1,0
48,3,3,1,0
56,3,2,1,0
13,5,0,0,0
89,4,3,1,0
37,4,2,1,0
70,1,3,1,0
88,0,2,1,0
12,2,2,0,0
66,4,2,1,1
74,4,0,1,0
23,3,3,0,0
16,0,3,0,0
24,5,1,0,0
16,5,2,0,0
68,4,1,1,0
16,3,3,0,0
39,5,2,1,0
49,4,0,1,0
68,1,0,1,0
68,0,3,1,0
77,2,1,1,0
48,0,0,1,0
80,5,3,1,0
10,1,0,0,0
24,2,0,0,1
19,0,3,0,0
15,0,0,0,0
88,2,2,1,1
20,2,3,0,1
27,3,2,0,1
34,0,0,1,0
41,4,3,1,0
8,0,1,0,0
57,1,1,1,0
49,5,2,1,0
9,5,0,0,0
76,3,3,1,0
29,2,1,1,0
51,0,0,1,0
75,5,3,1,0
8,0,3,0,0
58,1,1,1,0
35,3,3,1,0
35,2,1,1,0
73,5,1,1,0
57,5,2,1,0
81,2,3,1,1
68,0,3,1,0
61,4,2,1,0
62,5,1,1,0
70,2,3,1,0
67,2,1,1,0
65,3,1,1,0
8,5,1,0,0
49,4,1,1,0
37,1,0,1,0
41,0,0,1,0
83,0,0,1,1
57,2,0,1,0
39,5,2,1,0
89,1,2,1,0
45,0,3,1,0
9,4,1,0,0
63,3,1,1,0
21,0,2,0,0
78,4,2,1,0
5,1,3,0,0
8,1,2,0,0
41,1,0,1,0
43,3,2,1,0
78,4,1,1,0
77,1,1,1,0
83,2,0,1,0
25,5,1,0,0
29,4,2,1,0
89,2,1,1,1
77,0,3,1,1
50,3,0,1,0
33,1,0,1,0
48,2,0,1,0
51,0,1,1,0
64,5,3,1,0
34,4,2,1,0
16,1,3,0,0
28,1,2,0,0
9,0,1,0,0
10,3,0,0,0
17,2,2,0,0
44,5,2,1,0
56,1,2,1,0
85,5,1,1,0
77,4,1,1,0
59,0,3,1,0
34,1,3,1,0
35,5,2,1,0
19,2,1,0,0
80,4,2,1,1
19,5,2,0,0
5,4,2,0,0
16,2,1,0,0
29,2,1,1,0
69,1,3,1,0
29,2,2,1,0
67,2,1,1,0
3,0,2,0,0
28,0,0,0,0
52,0,1,1,0
51,3,0,1,0
55,3,2,1,0
27,0,1,0,0
29,1,1,1,0
85,3,3,1,0
12,5,1,0,0
7,0,2,0,0
40,4,0,1,0
51,4,1,1,0
24,2,2,0,1
6,5,3,0,0
54,0,2,1,0
89,3,3,1,1
15,0,2,0,0
43,1,3,1,0
54,2,0,1,1
25,4,1,0,0
63,3,3,1,0
72,0,2,1,0
48,5,3,1,0
21,3,0,0,0
25,3,3,0,0
69,2,3,1,0
47,4,1,1,0
19,1,3,0,0
2,2,1,0,1
22,1,1,0,0
17,5,1,0,0
26,4,3,0,0
47,4,3,1,0
49,0,3,1,0
87,1,2,1,0
88,2,1,1,0
24,5,3,0,1
81,1,3,1,0
66,0,3,1,0
50,1,2,1,0
21,5,0,0,0
87,4,3,1,0
35,2,3,1,0
86,0,0,1,0
19,2,3,0,0
86,4,0,1,0
85,0,2,1,0
40,4,2,1,1
25,3,0,0,0
28,0,0,0,1
44,3,0,1,0
82,3,3,1,0
60,1,1,1,0
55,5,2,1,1
1,3,2,0,0
47,0,0,1,0
75,2,0,1,0
71,5,3,1,0
7,1,2,0,0
72,2,2,1,0
26,0,1,0,0
84,2,0,1,0
32,3,3,1,0
85,4,1,1,0
67,2,2,1,0
62,4,3,1,0
40,4,3,1,0
69,3,2,1,0
50,4,3,1,0
86,0,1,1,0
7,3,3,0,0
70,4,1,1,0
51,1,0,1,0
60,5,0,1,0
33,2,0,1,0
18,4,1,0,0
79,5,1,1,0
14,1,1,0,0
57,5,0,1,0
88,5,1,1,0
62,5,0,1,0
17,1,1,0,0
49,0,1,1,0
26,1,1,0,0
9,2,0,0,1
53,1,3,1,0
40,3,2,1,0
32,1,3,1,0
62,4,2,1,0
78,2,0,1,0
89,4,3,1,0
80,4,2,1,0
49,0,3,1,0
79,2,3,1,1
37,4,3,1,0
22,0,0,0,0
25,5,1,0,0
38,5,0,1,0
6,1,2,0,0
64,4,2,1,1
52,5,0,1,0
14,3,0,0,0
36,4,3,1,0
82,2,2,1,0
60,5,2,1,1
75,4,3,1,0
10,4,2,0,0
1,3,3,0,0
7,1,1,0,0
19,3,3,0,0
37,2,3,1,1
15,5,0,0,0
10,1,1,0,0
10,3,2,0,0
35,3,2,1,0
22,1,2,0,1
68,5,3,1,0
47,5,1,1,0
21,0,2,0,0
73,2,2,1,0
54,3,3,1,0
83,5,3,1,0
66,2,3,1,0
79,5,1,1,0
17,5,1,0,0
74,2,1,1,0
79,0,3,1,0
56,0,2,1,0
74,4,1,1,0
29,3,2,1,0
78,1,3,1,0
1,2,0,0,0
40,5,2,1,0
38,4,2,1,1
27,4,3,0,1
53,5,3,1,0
43,0,2,1,0
